buy_date,sell_date,symbol,buy_price,sell_price,shares,cost,proceeds,profit,pct_return,cash_after
2025-09-10,2025-09-17,LULU,164.7,162.34,36,5929.2,5844.24,-84.96000000000004,-0.014329083181542204,5892.889999999993
2025-09-11,2025-09-18,COO,67.67,65.85,87,5887.29,5728.95,-158.34000000000015,-0.026895226836116472,5734.549999999993
2025-09-12,2025-09-19,SNDK,85.31,98.0,67,5715.77,6566.0,850.2299999999996,0.14875161176884297,6584.7799999999925
2025-09-15,2025-09-22,TTD,45.28,43.88,145,6565.6,6362.6,-203.0,-0.030918727915194344,6381.7799999999925
2025-09-16,2025-09-23,WBD,18.77,19.64,339,6363.03,6657.96,294.9300000000003,0.04635055940330319,6676.709999999993
2025-09-17,2025-09-24,SNDK,90.78,103.56,73,6626.9400000000005,7559.88,932.9399999999996,0.14077990746860536,7609.649999999992
2025-09-18,2025-09-25,SNDK,97.3,96.26,78,7589.4,7508.280000000001,-81.11999999999898,-0.010688591983555878,7528.529999999993
2025-09-19,2025-09-26,FDS,303.29,284.11,24,7278.960000000001,6818.64,-460.3200000000006,-0.0632398034884105,7068.209999999993
2025-09-22,2025-09-29,DRI,183.33,187.5,38,6966.540000000001,7125.0,158.45999999999913,0.02274586810669272,7226.669999999992
2025-09-23,2025-09-30,FDS,295.22,288.85,24,7085.280000000001,6932.400000000001,-152.8800000000001,-0.021577128920804836,7073.789999999992
2025-09-24,2025-10-01,SNPS,491.0,488.75,14,6874.0,6842.5,-31.5,-0.004582484725050916,7042.289999999992
2025-09-25,2025-10-02,TER,131.26,144.79,53,6956.78,7673.87,717.0900000000001,0.10307786073442025,7759.379999999992
2025-09-26,2025-10-03,GNRC,164.36,170.0,47,7724.920000000001,7990.0,265.079999999999,0.03431491847164747,8024.459999999991
2025-09-29,2025-10-06,SNPS,488.0,471.99,16,7808.0,7551.84,-256.15999999999985,-0.03280737704918031,7768.299999999991
2025-09-30,2025-10-07,SNPS,482.05,484.11,16,7712.8,7745.76,32.960000000000036,0.00427341562078623,7801.259999999991
2025-10-01,2025-10-08,SNPS,488.75,476.81,15,7331.25,7152.15,-179.10000000000036,-0.024429667519181634,7622.159999999991
2025-10-02,2025-10-09,ARES,152.79,149.01,49,7486.71,7301.49,-185.22000000000025,-0.02473983899469864,7436.9399999999905
2025-10-03,2025-10-10,APO,125.41,122.52,59,7399.19,7228.679999999999,-170.51000000000022,-0.023044414321027062,7266.42999999999
2025-10-06,2025-10-13,FCX,40.05,43.14,181,7249.049999999999,7808.34,559.2900000000009,0.07715355805243458,7825.719999999991
2025-10-07,2025-10-14,FCX,40.56,41.41,192,7787.52,7950.719999999999,163.1999999999989,0.02095660749506889,7988.91999999999
2025-10-08,2025-10-15,LEN,122.11,122.57,65,7937.15,7967.049999999999,29.899999999999636,0.003767095241994877,8018.81999999999
2025-10-09,2025-10-16,AMD,236.3,236.29,33,7797.900000000001,7797.57,-0.33000000000083674,-4.2319085907851693e-05,8018.489999999989
2025-10-10,2025-10-17,DHI,151.83,152.43,52,7895.160000000001,7926.360000000001,31.199999999999818,0.003951788184153306,8049.689999999989
2025-10-13,2025-10-20,SWK,64.77,67.46,124,8031.48,8365.039999999999,333.5599999999995,0.04153157325922489,8383.249999999989
2025-10-14,2025-10-21,SWK,62.51,67.93,134,8376.34,9102.62,726.2800000000007,0.08670612701967693,9109.52999999999
2025-10-15,2025-10-22,EA,200.12,200.27,45,9005.4,9012.15,6.75,0.0007495502698380972,9116.27999999999
2025-10-16,2025-10-23,EA,200.56,200.46,45,9025.2,9020.7,-4.5,-0.0004986039090546469,9111.77999999999
2025-10-17,2025-10-24,WYNN,115.48,125.33,78,9007.44,9775.74,768.2999999999993,0.08529615517838578,9880.079999999989
2025-10-20,2025-10-27,APP,593.31,634.25,16,9492.96,10148.0,655.0400000000009,0.06900271358986038,10535.11999999999
2025-10-21,2025-10-28,JNJ,191.79,188.07,54,10356.66,10155.779999999999,-200.88000000000102,-0.01939621460972949,10334.239999999989
2025-10-22,2025-10-29,WDC,121.07,131.32,85,10290.949999999999,11162.199999999999,871.25,0.08466176592054185,11205.489999999989
